Source,Target,Weight
3383.HK-2013,600466.SH-2014,0.900536561
3383.HK-2013,2868.HK-2015,0.899882181
3383.HK-2013,2777.HK-2014,0.894612228
3383.HK-2013,000656.SZ-2014,0.886696942
3383.HK-2013,3301.HK-2017,0.880514801
3383.HK-2013,1638.HK-2017,0.87994984
3383.HK-2013,600383.SH-2017,0.8734987
3383.HK-2013,000732.SZ-2014,0.871360978
3383.HK-2013,600048.SH-2017,0.87081697
3383.HK-2013,1813.HK-2016,0.867152754
3383.HK-2013,3380.HK-2014,0.8659511
3383.HK-2013,3301.HK-2016,0.865242041
3383.HK-2013,600325.SH-2019,0.863015273
3383.HK-2013,600325.SH-2018,0.863000681
3383.HK-2013,000926.SZ-2014,0.861779471
3383.HK-2013,1628.HK-2019,0.858024942
1238.HK-2013,1238.HK-2014,0.960899422
1238.HK-2013,1777.HK-2016,0.956379578
1238.HK-2013,002244.SZ-2018,0.953130847
1238.HK-2013,600376.SH-2016,0.941730145
1238.HK-2013,1777.HK-2018,0.938494287
1238.HK-2013,600708.SH-2019,0.93501478
1238.HK-2013,600466.SH-2016,0.933953138
1238.HK-2013,600466.SH-2018,0.930577896
1238.HK-2013,3377.HK-2014,0.929735943
1238.HK-2013,1862.HK-2014,0.929215004
1238.HK-2013,3377.HK-2017,0.928793379
1238.HK-2013,3377.HK-2018,0.927262623
1238.HK-2013,3900.HK-2015,0.926461194
1238.HK-2013,000961.SZ-2016,0.926063202
1238.HK-2013,1638.HK-2015,0.924697208
1238.HK-2013,3377.HK-2015,0.924058378
1238.HK-2013,000671.SZ-2016,0.923894741
1238.HK-2013,000656.SZ-2016,0.921599733
1238.HK-2013,2868.HK-2019,0.920249978
1238.HK-2013,3900.HK-2018,0.919850069
1238.HK-2013,000656.SZ-2017,0.919488521
1238.HK-2013,1638.HK-2016,0.9190771
1238.HK-2013,3377.HK-2013,0.913438514
1238.HK-2013,1638.HK-2018,0.907788524
1238.HK-2013,1777.HK-2017,0.898483528
1238.HK-2013,3383.HK-2016,0.897655946
1238.HK-2013,0817.HK-2014,0.890979075
1238.HK-2013,600708.SH-2018,0.890105129
